PROVINCE_N,Pop
จันทบุรี,3983312.961
ฉะเชิงเทรา,3231160.268
ชลบุรี,2817380.742
ตราด,1792054.751
ปราจีนบุรี,3145161.474
ระยอง,2290819.615
สระแก้ว,4290374.339
กรุงเทพมหานคร,979145.7943
กำแพงเพชร,5319327.395
ชัยนาท,1565798.916
นครนายก,1338315.53
นครปฐม,1337286.761
นครสวรรค์,5954934.068
นนทบุรี,397752.7731
ปทุมธานี,950506.2851
พระนครศรีอยุธยา,1592102.3
พิจิตร,2699411.276
พิษณุโลก,6622909.798
ลพบุรี,4064222.575
สมุทรปราการ,604451.3811
สมุทรสงคราม,258334.2858
สมุทรสาคร,544142.8267
สระบุรี,2180124.293
สิงห์บุรี,510632.2916
สุพรรณบุรี,3377264.016
สุโขทัย,4165382.546
อุทัยธานี,4155626.469
อ่างทอง,594064.2657
เพชรบูรณ์,7712347.039
กาฬสินธุ์,4335217.05
ขอนแก่น,6662216.632
ชัยภูมิ,7937114.386
นครพนม,3521776.907
นครราชสีมา,12959447.87
บึงกาฬ,2501093.035
บุรีรัมย์,6299607.926
มหาสารคาม,3505168.915
มุกดาหาร,2578847.673
ยโสธร,2580870.646
ร้อยเอ็ด,4920026.453
ศรีสะเกษ,5584462.089
สกลนคร,5987395.253
สุรินทร์,5533957.054
หนองคาย,2047450.458
หนองบัวลำภู,2562097.114
อำนาจเจริญ,2057509.024
อุดรธานี,6919935.45
อุบลราชธานี,9767052.72
เลย,6562605.015
น่าน,7601930.269
พะเยา,3837561.315
ลำปาง,7805190.873
ลำพูน,2799011.541
อุตรดิตถ์,4920232.643
เชียงราย,7236002.14
เชียงใหม่,13775691.15
แพร่,4051936.489
แม่ฮ่องสอน,7987860.565
กระบี่,3327046.133
ชุมพร,3747653.719
ตรัง,2956330.612
นครศรีธรรมราช,6175428.855
นราธิวาส,2807020.034
ปัตตานี,1235489.436
พังงา,3433520.094
พัทลุง,2412465.049
ภูเก็ต,342843.4925
ยะลา,2796902.303
ระนอง,2015650.967
สงขลา,4838763.318
สตูล,1887644.048
สุราษฎร์ธานี,8174873.779
กาญจนบุรี,12119540.59
ตาก,10814931.04
ประจวบคีรีขันธ์,4008289.512
ราชบุรี,3243759.27
เพชรบุรี,3857434.838
